,회사명,거래소코드,회계년도,자산,부채,자본,유동자산,유동부채,당좌자산,단기차입금,장기차입금,사채,매출액,당기순이익,감가상각비,기타대손상각비,이자비용,이자수익,유동성장기부채,영업활동으로 인한 현금흐름,영업이익,매출원가,투자자산,유형자산,무형자산,이연자산,매출채권,재고자산,법인세비용차감전,세금과공과,퇴직급여,임차료,영업외수익,영업외비용,회계월
158491,요진개발주식회사,46399,2014,616371870.0,288536091.0,327835780.0,554879035.0,148186573.0,179798962.0,35000000.0,115000000.0,0.0,269918250.0,4651421.0,436860.0,0.0,0.0,3106286.0,0.0,152404105.0,7033629.0,228902001.0,34004589.0,27464465.0,0.0,0.0,156581.0,375080073.0,7230154.0,3325432.0,21940.0,161388.0,3117256.0,2920731.0,Dec
158492,요진개발주식회사,46399,2015,593383656.0,257435119.0,335948538.0,549540860.0,235274703.0,266240238.0,32000000.0,0.0,0.0,446372525.0,8112758.0,445799.0,0.0,0.0,5896711.0,90000000.0,97500327.0,10567638.0,420715469.0,18257161.0,25561854.0,0.0,0.0,0.0,283300623.0,15884515.0,1594765.0,44933.0,562551.0,5898286.0,581408.0,Dec
269255,요진건설산업주식회사,16664,2016,510389021.0,181417105.0,328971916.0,191906997.0,99775225.0,144562436.0,3000000.0,50000000.0,0.0,494679156.0,34881270.0,325602.0,902337.0,0.0,1301871.0,16000000.0,6878200.0,52543904.0,416128502.0,293812282.0,21548909.0,3.0,0.0,17786652.0,47344561.0,48539955.0,418735.0,1015569.0,502856.0,16967354.0,20971303.0,Dec
269256,요진건설산업주식회사,16664,2017,514477683.0,229385867.0,285091816.0,162544318.0,104390542.0,137023758.0,18500000.0,95000000.0,0.0,360475228.0,5498126.0,458060.0,1422664.0,0.0,2583540.0,31000000.0,-39313766.0,16248596.0,324617373.0,327498283.0,21299552.0,3.0,0.0,56596425.0,25520560.0,9207001.0,378865.0,1184511.0,636388.0,6342564.0,13384159.0,Dec
226581,용인경전철주식회사,43183,2009,566468670.0,443787161.0,122681510.0,15554438.0,43648216.0,15554438.0,0.0,397429000.0,0.0,0.0,2016533.0,48711.0,0.0,0.0,49508.0,0.0,-27689912.0,-1881273.0,0.0,0.0,550819682.0,0.0,0.0,0.0,0.0,2016533.0,1213.0,58271.0,37128.0,4922590.0,1024785.0,Dec
226582,용인경전철주식회사,43183,2010,629665153.0,497963194.0,131701958.0,987282.0,51288329.0,987282.0,0.0,443872000.0,0.0,0.0,-8120463.0,45331.0,0.0,0.0,21629.0,0.0,-34299487.0,-1839663.0,0.0,0.0,628581324.0,2956.0,0.0,0.0,0.0,-8120463.0,949.0,145586.0,0.0,82953.0,6363753.0,Dec
226583,용인경전철주식회사,43183,2011,676864870.0,553896754.0,122968116.0,1011887.0,86298978.0,1011887.0,0.0,437536650.0,0.0,0.0,-8733842.0,5046.0,0.0,0.0,18696.0,0.0,26903570.0,-8763853.0,0.0,0.0,675707161.0,2232.0,0.0,0.0,0.0,-8733842.0,2844.0,77402.0,35225.0,184076.0,154064.0,Dec
269374,우림건설(주),10634,2007,660250905.0,491275932.0,168974973.0,570577165.0,251603099.0,413243028.0,26055369.0,158270593.0,70000000.0,591968209.0,18041173.0,455903.0,1164782.0,0.0,6456880.0,40591911.0,-178629387.0,44303211.0,490397547.0,69086198.0,5140961.0,982524.0,0.0,224362920.0,157334137.0,29480485.0,2325784.0,1898494.0,2347072.0,10944342.0,25767068.0,Dec
269375,우림건설(주),10634,2008,604906521.0,516557234.0,88349288.0,531398818.0,370750590.0,409483498.0,82164476.0,109133878.0,30000000.0,590486850.0,-84678871.0,401250.0,43862528.0,0.0,6929133.0,86016272.0,44829000.0,-29057895.0,534033662.0,54722204.0,4344154.0,494045.0,0.0,217355994.0,121915320.0,-104050547.0,1457398.0,1297794.0,3936842.0,14965569.0,89958220.0,Dec
269376,우림건설(주),10634,2009,581243956.0,514822116.0,66421840.0,500981346.0,267073928.0,428824041.0,28755994.0,175087852.0,57922723.0,488359697.0,-17174295.0,240741.0,12018336.0,0.0,9083350.0,36832133.0,44784000.0,1593808.0,446228694.0,57839137.0,5289789.0,260975.0,0.0,232515786.0,72157304.0,-23022933.0,1756182.0,1351700.0,3237725.0,16353548.0,40970288.0,Dec
269377,우림건설(주),10634,2010,541671341.0,474067492.0,67603849.0,464410701.0,307666682.0,434571007.0,17136644.0,116328177.0,37922723.0,473422599.0,985148.0,128891.0,1414226.0,0.0,11885853.0,64311646.0,34708062.0,20351910.0,430529989.0,55742564.0,3253999.0,215926.0,0.0,263985416.0,29839694.0,2390885.0,856918.0,841610.0,2918356.0,16733812.0,34694837.0,Dec
269465,우미건설(주),16710,2015,523617941.0,234313360.0,289304581.0,472953251.0,227723796.0,386856223.0,0.0,206931.0,0.0,375715729.0,37340891.0,176740.0,0.0,0.0,10647427.0,54507390.0,51395510.0,37958369.0,320931242.0,42005211.0,630376.0,244824.0,0.0,98049994.0,86097029.0,49745203.0,102931.0,2461098.0,125901.0,14236503.0,2449670.0,Dec
269466,우미건설(주),16710,2016,610776757.0,273840404.0,336936354.0,544563943.0,260027711.0,493576966.0,0.0,5449540.0,0.0,437249591.0,54163629.0,229693.0,696000.0,0.0,8709197.0,141007390.0,9744698.0,66771417.0,356658237.0,56324776.0,789172.0,350739.0,0.0,85377885.0,50986977.0,73657863.0,102742.0,677111.0,152843.0,17272596.0,10386150.0,Dec
